,description,group
REALLN,Real Estate Loans at All Commercial Banks,Money and Credit
NONREVSL,Total Nonrevolving Credit,Money and Credit
CONSPI,Nonrevolving consumer credit to Personal Income,Money and Credit
S&P 500,S&P s Common Stock Price Index: Composite,Stock Market
S&P: indust,S&P s Common Stock Price Index: Industrials,Stock Market
S&P div yield,S&P s Composite Common Stock: Dividend Yield,Stock Market
S&P PE ratio,S&P s Composite Common Stock: Price-Earnings Ratio,Stock Market
FEDFUNDS,E?ective Federal Funds Rate,Interest and Exchange Rates
CP3Mx,3-Month AA Financial Commercial Paper Rate,Interest and Exchange Rates
TB3MS,3-Month Treasury Bill:,Interest and Exchange Rates
TB6MS,6-Month Treasury Bill:,Interest and Exchange Rates
GS1,1-Year Treasury Rate,Interest and Exchange Rates
GS5,5-Year Treasury Rate,Interest and Exchange Rates
GS10,10-Year Treasury Rate,Interest and Exchange Rates
AAA,Moody s Seasoned Aaa Corporate Bond Yield,Interest and Exchange Rates
BAA,Moody s Seasoned Baa Corporate Bond Yield,Interest and Exchange Rates
COMPAPFFx,3-Month Commercial Paper Minus FEDFUNDS,Interest and Exchange Rates
TB3SMFFM,3-Month Treasury C Minus FEDFUNDS,Interest and Exchange Rates
TB6SMFFM,6-Month Treasury C Minus FEDFUNDS,Interest and Exchange Rates
T1YFFM,1-Year Treasury C Minus FEDFUNDS,Interest and Exchange Rates
T5YFFM,5-Year Treasury C Minus FEDFUNDS,Interest and Exchange Rates
T10YFFM,10-Year Treasury C Minus FEDFUNDS,Interest and Exchange Rates
AAAFFM,Moody s Aaa Corporate Bond Minus FEDFUNDS,Interest and Exchange Rates
BAAFFM,Moody s Baa Corporate Bond Minus FEDFUNDS,Interest and Exchange Rates
EXSZUSx,Switzerland / U.S. Foreign Exchange Rate,Interest and Exchange Rates
EXJPUSx,Japan / U.S. Foreign Exchange Rate,Interest and Exchange Rates
EXUSUKx,U.S. / U.K. Foreign Exchange Rate,Interest and Exchange Rates
EXCAUSx,Canada / U.S. Foreign Exchange Rate,Interest and Exchange Rates
WPSFD49207,PPI: Finished Goods,Prices
WPSFD49502,PPI: Finished Consumer Goods,Prices
WPSID61,PPI: Intermediate Materials,Prices
WPSID62,PPI: Crude Materials,Prices
OILPRICEx,"Crude Oil, spliced WTI and Cushing",Prices
PPICMM,PPI: Metals and metal products:,Prices
CPIAUCSL,CPI : All Items,Prices
CPIAPPSL,CPI : Apparel,Prices
CPITRNSL,CPI : Transportation,Prices
CPIMEDSL,CPI : Medical Care,Prices
CUSR0000SAC,CPI : Commodities,Prices
CUSR0000SAD,CPI : Durables,Prices
CUSR0000SAS,CPI : Services,Prices
CPIULFSL,CPI : All Items Less Food,Prices
CUSR0000SA0L2,CPI : All items less shelter,Prices
CUSR0000SA0L5,CPI : All items less medical care,Prices
PCEPI,Personal Cons. Expend.: Chain Index,Prices
DDURRG3M086SBEA,Personal Cons. Exp: Durable goods,Prices
DNDGRG3M086SBEA,Personal Cons. Exp: Nondurable goods,Prices
DSERRG3M086SBEA,Personal Cons. Exp: Services,Prices
CES0600000008,Avg Hourly Earnings : Goods-Producing,Labor Market
CES2000000008,Avg Hourly Earnings : Construction,Labor Market
CES3000000008,Avg Hourly Earnings : Manufacturing,Labor Market
UMCSENTx,Consumer Sentiment Index,"Consumption, Orders, and Inventories"
DTCOLNVHFNM,Consumer Motor Vehicle Loans Outstanding,Money and Credit
DTCTHFNM,Total Consumer Loans and Leases Outstanding,Money and Credit
INVEST,Securities in Bank Credit at All Commercial Banks,Money and Credit
